Project,Version,Failing_Tests
Chart,1,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests::test2947660
Chart,2,org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_2
Chart,2,org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_3
Chart,3,org.jfree.data.time.junit.TimeSeriesTests::testCreateCopy3
Chart,4,org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange1
Chart,4,org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange2
Chart,4,org.jfree.chart.axis.junit.NumberAxisTests::testXYAutoRange1
Chart,4,org.jfree.chart.axis.junit.NumberAxisTests::testXYAutoRange2
Chart,4,org.jfree.chart.axis.junit.ValueAxisTests::testAxisMargins
Chart,4,org.jfree.chart.junit.JFreeChartTests::testSerialization4
Chart,4,org.jfree.chart.junit.ScatterPlotTests::testDrawWithNullInfo
Chart,4,org.jfree.chart.junit.ScatterPlotTests::testReplaceDataset
Chart,4,org.jfree.chart.junit.ScatterPlotTests::testSetSeriesToolTipGenerator
Chart,4,org.jfree.chart.junit.TimeSeriesChartTests::testDrawWithNullInfo
Chart,4,org.jfree.chart.junit.TimeSeriesChartTests::testReplaceDataset
Chart,4,org.jfree.chart.junit.TimeSeriesChartTests::testSetSeriesToolTipGenerator
Chart,4,org.jfree.chart.junit.XYAreaChartTests::testDrawWithNullInfo
Chart,4,org.jfree.chart.junit.XYAreaChartTests::testReplaceDataset
Chart,4,org.jfree.chart.junit.XYAreaChartTests::testSetSeriesToolTipGenerator
Chart,4,org.jfree.chart.junit.XYStepAreaChartTests::testDrawWithNullInfo
Chart,4,org.jfree.chart.junit.XYStepAreaChartTests::testReplaceDataset
Chart,4,org.jfree.chart.junit.XYStepAreaChartTests::testSetSeriesToolTipGenerator
Chart,4,org.jfree.chart.junit.XYStepChartTests::testDrawWithNullInfo
Chart,4,org.jfree.chart.junit.XYStepChartTests::testReplaceDataset
Chart,4,org.jfree.chart.junit.XYStepChartTests::testSetSeriesToolTipGenerator
Chart,4,org.jfree.chart.plot.junit.XYPlotTests::testDrawRangeGridlines
Chart,5,org.jfree.data.xy.junit.XYSeriesTests::testBug1955483
Chart,6,org.jfree.chart.util.junit.ShapeListTests::testEquals
Chart,6,org.jfree.chart.util.junit.ShapeListTests::testSerialization
Chart,7,org.jfree.data.time.junit.TimePeriodValuesTests::testGetMaxMiddleIndex
Chart,8,org.jfree.data.time.junit.WeekTests::testConstructor
Chart,9,org.jfree.data.time.junit.TimeSeriesTests::testBug1864222
Chart,10,org.jfree.chart.imagemap.junit.StandardToolTipTagFragmentGeneratorTests::testGenerateURLFragment
Chart,11,org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualGeneralPaths
Chart,12,org.jfree.chart.plot.junit.MultiplePiePlotTests::testConstructor
Chart,13,org.jfree.chart.block.junit.BorderArrangementTests::testSizingWithWidthConstraint
Chart,14,org.jfree.chart.plot.junit.CategoryPlotTests::testRemoveDomainMarker
Chart,14,org.jfree.chart.plot.junit.CategoryPlotTests::testRemoveRangeMarker
Chart,14,org.jfree.chart.plot.junit.XYPlotTests::testRemoveDomainMarker
Chart,14,org.jfree.chart.plot.junit.XYPlotTests::testRemoveRangeMarker
Chart,15,org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testCloning2
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetCategoryIndex
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetColumnCount
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetColumnIndex
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowCount
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowIndex
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetSeriesIndex
Chart,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSetCategoryKeys
Chart,17,org.jfree.data.time.junit.TimeSeriesTests::testBug1832432
Chart,18,org.jfree.data.category.junit.DefaultCategoryDatasetTests::testBug1835955
Chart,18,org.jfree.data.junit.DefaultKeyedValues2DTests::testRemoveColumnByKey
Chart,18,org.jfree.data.junit.DefaultKeyedValuesTests::testGetIndex2
Chart,18,org.jfree.data.junit.DefaultKeyedValuesTests::testRemoveValue
Chart,19,org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisIndex
Chart,19,org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisIndex
Chart,20,org.jfree.chart.plot.junit.ValueMarkerTests::test1808376
Chart,21,org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests::testGetRangeBounds
Chart,22,org.jfree.data.junit.KeyedObjects2DTests::testGetValueByKey
Chart,22,org.jfree.data.junit.KeyedObjects2DTests::testRemoveColumnByIndex
Chart,22,org.jfree.data.junit.KeyedObjects2DTests::testRemoveColumnByKey
Chart,22,org.jfree.data.junit.KeyedObjects2DTests::testRemoveRowByKey
Chart,22,org.jfree.data.junit.KeyedObjects2DTests::testRemoveValue
Chart,22,org.jfree.data.junit.KeyedObjects2DTests::testSetObject
Chart,23,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests::testEquals
Chart,24,org.jfree.chart.renderer.junit.GrayPaintScaleTests::testGetPaint
Chart,25,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationHorizontal
Chart,25,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationVertical
Chart,25,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanHorizontal
Chart,25,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanVertical
Chart,26,org.jfree.chart.junit.AreaChartTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.BarChart3DTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.BarChartTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.GanttChartTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.GanttChartTests::testDrawWithNullInfo2
Chart,26,org.jfree.chart.junit.LineChart3DTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.LineChartTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.StackedAreaChartTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.StackedBarChart3DTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.StackedBarChartTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.WaterfallChartTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.plot.junit.CategoryPlotTests::test1654215
Chart,26,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization3
Chart,26,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization4
Chart,26,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.IntervalBarRendererTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.LayeredBarRendererTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.LevelRendererTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests::testDrawWithNullInfo
Closure,1,com.google.javascript.jscomp.CommandLineRunnerTest::testDebugFlag1
Closure,1,com.google.javascript.jscomp.CommandLineRunnerTest::testForwardDeclareDroppedTypes
Closure,1,com.google.javascript.jscomp.CommandLineRunnerTest::testSimpleModeLeavesUnusedParams
Closure,1,com.google.javascript.jscomp.IntegrationTest::testIssue787
Closure,1,com.google.javascript.jscomp.RemoveUnusedVarsTest::testIssue168b
Closure,1,com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal1
Closure,1,com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal2
Closure,1,com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal3
Closure,2,com.google.javascript.jscomp.TypeCheckTest::testBadInterfaceExtendsNonExistentInterfaces
Closure,3,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression1
Closure,3,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression1a
Closure,3,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression3
Closure,4,com.google.javascript.jscomp.TypeCheckTest::testConversionFromInterfaceToRecursiveConstructor
Closure,4,com.google.javascript.jscomp.TypeCheckTest::testImplementsExtendsLoop
Closure,4,com.google.javascript.jscomp.TypeCheckTest::testImplementsLoop
Closure,5,com.google.javascript.jscomp.InlineObjectLiteralsTest::testNoInlineDeletedProperties
Closure,6,com.google.javascript.jscomp.LooseTypeCheckTest::testTypeRedefinition
Closure,6,com.google.javascript.jscomp.TypeCheckTest::testIssue635b
Closure,6,com.google.javascript.jscomp.TypeCheckTest::testTypeRedefinition
Closure,7,com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsFunction2
Closure,7,com.google.javascript.jscomp.SemanticReverseAbstractInterpreterTest::testTypeof3
Closure,8,com.google.javascript.jscomp.CollapseVariableDeclarationsTest::testIssue820
Closure,9,com.google.javascript.jscomp.ProcessCommonJSModulesTest::testGuessModuleName
Closure,10,com.google.javascript.jscomp.PeepholeFoldConstantsTest::testIssue821
Closure,11,com.google.javascript.jscomp.TypeCheckTest::testGetprop4
Closure,11,com.google.javascript.jscomp.TypeCheckTest::testIssue810
Closure,12,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testIssue794b
Closure,13,com.google.javascript.jscomp.IntegrationTest::testIssue787
Closure,14,com.google.javascript.jscomp.CheckMissingReturnTest::testIssue779
Closure,14,com.google.javascript.jscomp.ControlFlowAnalysisTest::testDeepNestedBreakwithFinally
Closure,14,com.google.javascript.jscomp.ControlFlowAnalysisTest::testDeepNestedFinally
Closure,15,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testSimpleForIn
Closure,16,com.google.javascript.jscomp.IntegrationTest::testIssue772
Closure,16,com.google.javascript.jscomp.ScopedAliasesTest::testIssue772
Closure,17,com.google.javascript.jscomp.TypeCheckTest::testIssue688
Closure,18,com.google.javascript.jscomp.IntegrationTest::testDependencySorting
Closure,19,com.google.javascript.jscomp.TypeInferenceTest::testNoThisInference
Closure,20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntaxTest::testSimpleFunctionCall
Closure,21,com.google.javascript.jscomp.CheckSideEffectsTest::testUselessCode
Closure,22,com.google.javascript.jscomp.CheckSideEffectsTest::testUselessCode
Closure,23,com.google.javascript.jscomp.PeepholeFoldConstantsTest::testFoldGetElem
Closure,24,com.google.javascript.jscomp.ScopedAliasesTest::testNonAliasLocal
Closure,25,com.google.javascript.jscomp.TypeInferenceTest::testBackwardsInferenceNew
Closure,26,com.google.javascript.jscomp.CommandLineRunnerTest::testProcessCJS
Closure,26,com.google.javascript.jscomp.CommandLineRunnerTest::testTransformAMDAndProcessCJS
Closure,26,com.google.javascript.jscomp.ProcessCommonJSModulesTest::testDash
Closure,26,com.google.javascript.jscomp.ProcessCommonJSModulesTest::testExports
Closure,26,com.google.javascript.jscomp.ProcessCommonJSModulesTest::testModuleName
Closure,26,com.google.javascript.jscomp.ProcessCommonJSModulesTest::testVarRenaming
Closure,26,com.google.javascript.jscomp.ProcessCommonJSModulesTest::testWithoutExports
Closure,27,com.google.javascript.rhino.IRTest::testIssue727_1
Closure,27,com.google.javascript.rhino.IRTest::testIssue727_2
Closure,27,com.google.javascript.rhino.IRTest::testIssue727_3
Closure,28,com.google.javascript.jscomp.InlineCostEstimatorTest::testCost
Closure,28,com.google.javascript.jscomp.InlineFunctionsTest::testIssue728
Closure,29,com.google.javascript.jscomp.InlineObjectLiteralsTest::testIssue724
Closure,29,com.google.javascript.jscomp.InlineObjectLiteralsTest::testObject10
Closure,29,com.google.javascript.jscomp.InlineObjectLiteralsTest::testObject12
Closure,29,com.google.javascript.jscomp.InlineObjectLiteralsTest::testObject22
Closure,29,com.google.javascript.jscomp.IntegrationTest::testIssue724
Closure,30,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testCanInlineAcrossNoSideEffect
Closure,30,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testInlineAcrossSideEffect1
Closure,30,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testIssue698
Closure,31,com.google.javascript.jscomp.CommandLineRunnerTest::testDependencySortingWhitespaceMode
Closure,32,com.google.javascript.jscomp.IntegrationTest::testIssue701
Closure,32,com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testParseLicense
Closure,32,com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testParseLicenseAscii
Closure,32,com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testParsePreserve
Closure,33,com.google.javascript.jscomp.TypeCheckTest::testIssue700
Closure,34,com.google.javascript.jscomp.CodePrinterTest::testManyAdds
Closure,35,com.google.javascript.jscomp.TypeCheckTest::testIssue669
Closure,36,com.google.javascript.jscomp.IntegrationTest::testSingletonGetter1
Closure,37,com.google.javascript.jscomp.IntegrationTest::testIncompleteFunction
Closure,38,com.google.javascript.jscomp.CodePrinterTest::testMinusNegativeZero
Closure,39,com.google.javascript.rhino.jstype.RecordTypeTest::testLongToString
Closure,39,com.google.javascript.rhino.jstype.RecordTypeTest::testRecursiveRecord
Closure,40,com.google.javascript.jscomp.IntegrationTest::testIssue284
Closure,40,com.google.javascript.jscomp.NameAnalyzerTest::testIssue284
Closure,41,com.google.javascript.jscomp.LooseTypeCheckTest::testMethodInference6
Closure,41,com.google.javascript.jscomp.TypeCheckTest::testIssue368
Closure,41,com.google.javascript.jscomp.TypeCheckTest::testMethodInference6
Closure,42,com.google.javascript.jscomp.parsing.ParserTest::testForEach
Closure,43,com.google.javascript.jscomp.TypeCheckTest::testLends10
Closure,43,com.google.javascript.jscomp.TypeCheckTest::testLends11
Closure,44,com.google.javascript.jscomp.CodePrinterTest::testIssue620
Closure,45,com.google.javascript.jscomp.RemoveUnusedVarsTest::testIssue618_1
Closure,46,com.google.javascript.rhino.jstype.JSTypeTest::testRecordTypeLeastSuperType2
Closure,46,com.google.javascript.rhino.jstype.JSTypeTest::testRecordTypeLeastSuperType3
Closure,46,com.google.javascript.rhino.jstype.RecordTypeTest::testSupAndInf
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMapping1
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMapping2
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMappingGoldenOutput
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput0a
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput1
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput2
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput3
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput4
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput5
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testLiteralMappings
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testLiteralMappingsGoldenOutput
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultiFunctionMapping
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultilineMapping
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultilineMapping2
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testParseSourceMetaMap
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testSourceMapMerging
Closure,48,com.google.javascript.jscomp.TypeCheckTest::testIssue586
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest::testBug1897706
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest::testInline13
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest::testInline14
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest::testInline15
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest::testInline16
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest::testInline17
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest::testInline18
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest::testInline19
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest::testInline19b
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest::testInlineFunctionWithInnerFunction5
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest::testInlineIntoLoop
Closure,49,com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutate8
Closure,49,com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateCallInLoopVars1
Closure,49,com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateFunctionDefinition
Closure,49,com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateInitializeUninitializedVars1
Closure,49,com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateInitializeUninitializedVars2
Closure,49,com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateWithParameters3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testAnonymous1
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testAnonymous3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testBug4944818
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testComplexFunctionWithFunctionDefinition2
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testComplexFunctionWithFunctionDefinition2a
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testComplexFunctionWithFunctionDefinition3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testComplexInline7
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testComplexInlineNoResultNoParamCall3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testComplexInlineVars7
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testComplexSample
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInlining11
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInlining9
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testDecomposeFunctionExpressionInCall
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionCallInlining11b
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionOmega
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionYCombinator
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs1
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs2
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs4
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions10
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions13
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions15b
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions15d
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions16a
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions22
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions23
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions9
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineNeverMutateConstants
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineNeverOverrideNewValues
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testInlineWithThis7
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testIssue423
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testLoopWithFunctionWithFunction
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testMethodWithFunctionWithFunction
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testMixedModeInliningCosting3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified1
