"","output_rank_ST_compiler_Ver","output_rank_ST_compiler_rankIndex","output_rank_MC_compiler_rankIndex","output_rank_CMC_compiler_rankIndex","output_rank_TM_compiler_rankIndex","output_rank_model_compiler_rankIndex","output_rank_model_compiler_rankIndex_mod"
"1",1,0.025974025974026,0.025974025974026,0.0779220779220779,0.012987012987013,0.038961038961039,0.051948051948052
"2",2,0.6,0.8,0.8,0.4,0.8,0.8
"3",3,0.625,0.625,0.4375,0.4375,0.0625,0.0625
"4",4,0.846774193548387,0.120967741935484,0.758064516129032,0.82258064516129,0.0806451612903226,0.0806451612903226
"5",5,0.939393939393939,0.212121212121212,1,0.909090909090909,0.181818181818182,0.151515151515152
"6",9,0.454545454545455,1,0.545454545454545,0.545454545454545,0.909090909090909,0.818181818181818
"7",10,0.625,0.875,1,1,0.625,0.5
"8",12,0.5,0.6,0.7,0.3,0.3,0.3
"9",13,0.0909090909090909,0.0909090909090909,0.909090909090909,0.636363636363636,0.0909090909090909,0.636363636363636
"10",14,0.176470588235294,0.117647058823529,0.352941176470588,0.117647058823529,0.117647058823529,0.0588235294117647
"11",19,0.5,0.625,0.875,0.875,0.375,0.625
"12",23,0.0983606557377049,0.475409836065574,0.573770491803279,0.409836065573771,0.721311475409836,0.80327868852459
"13",24,0.2,1,0.4,0.4,0.8,1
"14",30,0.894736842105263,0.263157894736842,0.894736842105263,0.473684210526316,0.263157894736842,0.263157894736842
"15",32,0.2,0.2,0.4,0.2,0.4,0.6
"16",33,0.8,0.4,0.7,0.7,0.4,0.4
"17",34,0.072289156626506,0.975903614457831,0.939759036144578,0.132530120481928,0.674698795180723,0.578313253012048
"18",36,0.428571428571429,0.0714285714285714,0.928571428571429,0.428571428571429,0.0714285714285714,0.0714285714285714
"19",37,0.222222222222222,0.777777777777778,0.777777777777778,0.111111111111111,0.555555555555556,0.666666666666667
"20",38,0.6,0.85,0.85,0.4,0.7,0.7
"21",39,0.285714285714286,0.857142857142857,0.857142857142857,0.857142857142857,0.714285714285714,0.714285714285714
"22",40,0.285714285714286,0.476190476190476,0.523809523809524,0.0476190476190476,0.428571428571429,0.428571428571429
"23",43,0.693333333333333,0.16,0.533333333333333,0.36,0.226666666666667,0.213333333333333
"24",44,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.333333333333333,0.333333333333333
"25",45,0.7,0.25,0.8,0.05,0.25,0.15
"26",46,0.2,0.76,0.84,0.2,0.48,0.36
"27",47,0.242424242424242,0.181818181818182,0.757575757575758,0.0303030303030303,0.181818181818182,0.0909090909090909
"28",49,0.0821917808219178,0.0821917808219178,0.191780821917808,0.178082191780822,0.0684931506849315,0.0273972602739726
"29",50,0.756410256410256,0.358974358974359,0.384615384615385,0.384615384615385,0.294871794871795,0.166666666666667
"30",51,0.604166666666667,0.854166666666667,1,0.4375,0.3125,0.291666666666667
"31",52,0.245283018867925,0.792452830188679,0.943396226415094,0.792452830188679,0.207547169811321,0.150943396226415
"32",53,0.684931506849315,0.575342465753425,0.698630136986301,0.123287671232877,0.506849315068493,0.465753424657534
"33",54,0.230769230769231,0.384615384615385,0.512820512820513,0.487179487179487,0.358974358974359,0.256410256410256
"34",55,1,0.681818181818182,1,0.954545454545455,0.681818181818182,0.0909090909090909
"35",56,0.125,0.875,0.833333333333333,0.583333333333333,0.125,0.125
"36",57,0.666666666666667,0.5,0.5,0.5,0.5,0.5
"37",58,1,0.630434782608696,0.108695652173913,1,0.891304347826087,0.891304347826087
"38",60,0.11864406779661,0.0508474576271186,0.203389830508475,0.525423728813559,0.0508474576271186,0.0338983050847458
"39",63,0.346938775510204,0.979591836734694,0.938775510204082,0.36734693877551,0.836734693877551,0.816326530612245
"40",64,0.227272727272727,0.0909090909090909,0.318181818181818,0.0909090909090909,0.0909090909090909,0.227272727272727
"41",65,0.107142857142857,0.785714285714286,0.607142857142857,0.607142857142857,0.964285714285714,0.928571428571429
"42",66,0.5,0.125,0.875,0.875,0.125,0.125
"43",67,1,0.285714285714286,1,1,0.285714285714286,0.142857142857143
"44",68,0.888888888888889,0.444444444444444,0.666666666666667,0.666666666666667,0.222222222222222,0.111111111111111
"45",69,0.631578947368421,0.210526315789474,0.421052631578947,0.578947368421053,0.315789473684211,0.263157894736842
"46",70,0.42,0.2,0.48,0.16,0.12,0.06
"47",71,0.394736842105263,0.0263157894736842,0.631578947368421,0.236842105263158,0.0263157894736842,0.0263157894736842
"48",72,0.552631578947368,0.223684210526316,0.763157894736842,0.223684210526316,0.157894736842105,0.157894736842105
"49",73,0.689655172413793,0.655172413793103,0.379310344827586,0.137931034482759,0.379310344827586,0.344827586206897
"50",74,0.176470588235294,0.529411764705882,0.117647058823529,0.117647058823529,0.852941176470588,0.852941176470588
"51",75,0.805309734513274,0.274336283185841,0.584070796460177,0.584070796460177,0.150442477876106,0.150442477876106
"52",76,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182
"53",80,0.0131578947368421,0.986842105263158,0.144736842105263,0.144736842105263,0.986842105263158,0.986842105263158
"54",82,0.63963963963964,0.720720720720721,0.414414414414414,0.414414414414414,0.18018018018018,0.18018018018018
"55",83,0.478260869565217,0.782608695652174,0.217391304347826,0.217391304347826,0.565217391304348,0.565217391304348
"56",84,0.75,1,0.0833333333333333,0.0833333333333333,0.333333333333333,0.583333333333333
"57",85,0.389705882352941,0.257352941176471,0.382352941176471,0.382352941176471,0.176470588235294,0.176470588235294
"58",86,0.0151515151515152,0.00757575757575758,0.00757575757575758,0.00757575757575758,0.00757575757575758,0.00757575757575758
"59",87,0.129032258064516,0.0967741935483871,0.258064516129032,0.258064516129032,0.903225806451613,0.903225806451613
"60",88,0.597701149425287,0.247126436781609,0.264367816091954,0.264367816091954,0.103448275862069,0.103448275862069
"61",89,0.508771929824561,0.0614035087719298,0.0087719298245614,0.0087719298245614,0.0350877192982456,0.0350877192982456
"62",90,0.964285714285714,0.821428571428571,0.892857142857143,0.892857142857143,0.785714285714286,0.785714285714286
"63",91,0.7,0.833333333333333,0.366666666666667,0.366666666666667,0.666666666666667,0.666666666666667
"64",93,0.818181818181818,0.272727272727273,0.818181818181818,0.818181818181818,0.272727272727273,0.272727272727273
"65",94,0.0458015267175573,0.473282442748092,0.809160305343511,0.809160305343511,0.412213740458015,0.435114503816794
"66",99,0.75609756097561,0.609756097560976,0.682926829268293,0.682926829268293,0.536585365853659,0.536585365853659
"67",102,0.6,1,1,1,0.6,0.6
"68",104,0.384615384615385,0.897435897435897,0.923076923076923,0.923076923076923,0.794871794871795,0.794871794871795
"69",108,0.886792452830189,0.471698113207547,0.867924528301887,0.867924528301887,0.320754716981132,0.320754716981132
"70",110,0.285714285714286,0.142857142857143,0.285714285714286,0.285714285714286,0.142857142857143,0.142857142857143
"71",111,0.897435897435897,0.615384615384615,0.0256410256410256,0.0256410256410256,0.102564102564103,0.128205128205128
"72",114,0.888888888888889,0.222222222222222,0.666666666666667,0.666666666666667,0.222222222222222,0.222222222222222
"73",115,0.333333333333333,0.75,0.0833333333333333,0.0833333333333333,0.416666666666667,0.416666666666667
"74",116,0.702127659574468,0.234042553191489,0.574468085106383,0.574468085106383,0.127659574468085,0.127659574468085
"75",117,0.565217391304348,0.565217391304348,0.217391304347826,0.217391304347826,0.304347826086957,0.304347826086957
"76",121,0.840909090909091,0.363636363636364,0.568181818181818,0.568181818181818,0.0454545454545455,0.0454545454545455
"77",122,0.842105263157895,0.210526315789474,0.842105263157895,0.842105263157895,0.157894736842105,0.157894736842105
"78",123,0.0857142857142857,0.714285714285714,0.814285714285714,0.814285714285714,0.928571428571429,0.928571428571429
"79",124,0.685714285714286,0.442857142857143,0.0142857142857143,0.0142857142857143,0.0571428571428571,0.0571428571428571
"80",127,0.607142857142857,0.25,0.357142857142857,0.357142857142857,0.0714285714285714,0.0714285714285714
"81",129,0.155555555555556,0.755555555555556,0.0888888888888889,0.0888888888888889,0.8,0.8
"82",130,0.222222222222222,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222
"83",131,0.125,0.125,0.125,0.125,0.5,0.5
"84",132,0.3125,0.3125,0.375,0.375,0.75,0.5625
